WORK_ORDER,ACTUAL_DECISION,RF_PRED,XGB_PRED,LR_PRED,HYBRID_OPTIMIZATION_DECISION,MODEL1_COPQ_RISK_SCORE,MODEL2_CC_OVERLOAD_PENALTY,MODEL3_BATCH_FLOW_FACTOR,MODEL4_ASSIGNMENT_RISK_FACTOR,OR_DECISION,DETERMINISTIC_DECISION,ROBUST_DECISION,PROB_RF_Hurda,PROB_XGB_Hurda,PROB_LR_Hurda,ENSEMBLE_PROB_Hurda,PROB_RF_Islah,PROB_XGB_Islah,PROB_LR_Islah,ENSEMBLE_PROB_Islah,PROB_RF_Kabul(OGK),PROB_XGB_Kabul(OGK),PROB_LR_Kabul(OGK),ENSEMBLE_PROB_Kabul(OGK),PROB_RF_RTV,PROB_XGB_RTV,PROB_LR_RTV,ENSEMBLE_PROB_RTV,PROB_RF_RU,PROB_XGB_RU,PROB_LR_RU,ENSEMBLE_PROB_RU,qa_confidence,qa_copq,qa_error_score,qa_final_label,qa_flag_high_risk,qa_flag_inconsistent,qa_min_prob,qa_prob_ratio,qa_quartile_rank,qa_second_best_prob,qa_variance,ANOMALY_FLAG,ANOMALY_SCORE,CLUSTER_ID,CLUSTER_DISTANCE,DISTANCE_FROM_RESULT_MIDDLE_POINT,OUT_OF_LIMITS
450509,RU,RU,RU,Kabul(OGK),Kabul(OGK),0.0,-0.001044490799222336,-0.15589482913714703,-1.1875224965512008,RU,Hurda,RU,0.12692081921504314,0.007274449337273836,0.16854446694975536,0.10091324516735745,0.108191440144557,0.003915193025022745,0.17898934705710415,0.09703199340889464,0.1869427284726032,0.025882424786686897,0.23460713511149264,0.14914409612359425,0.09921211034199783,0.007977659814059734,0.1927774370139187,0.09998906905665876,0.4787329018257988,0.9549502730369568,0.2250816138677292,0.5529215962434949,0.5529215962434949,18.941568075130103,2.0,RU,0.0,1.0,0.09703199340889464,3.707297912652836,2,0.14914409612359425,0.03151255154538131,0,1.0422638300643765,2,0.49428709719813857,0.8024805195084653,1
302031,Hurda,Hurda,Hurda,Islah,Kabul(OGK),0.0,-0.0004741692358341695,0.03302592998206737,-0.7512239085175951,Hurda,Hurda,Hurda,0.5931287458837399,0.9686511625793741,0.18022726477457127,0.5806690577458952,0.13070280743259716,0.01385088145433284,0.24394443351913805,0.12949937413535603,0.08736441020706331,0.009638404938194393,0.12516380838956448,0.07405554117827406,0.10304377091241652,0.003799498031497023,0.22603977878722167,0.1109610159103784,0.08576026556418329,0.00406005299660167,0.22462471452950447,0.10481501103009648,0.5806690577458952,18.386618845082097,2.0,Hurda,0.0,1.0,0.07405554117827406,4.483952618481115,3,0.12949937413535603,0.03654587985865282,0,1.1838205158931172,1,1.1900205156975043,-0.7218835046289144,1
852207,RTV,RTV,RTV,RTV,Kabul(OGK),0.0,4.586096258560137e-05,-0.1155525044111325,-0.05367456994151047,RTV,Hurda,RTV,0.14161626302207947,0.005859075125044352,0.15016237669058466,0.09921257161256951,0.10947512188481026,0.015999270632861686,0.15469402568907725,0.09338947273558307,0.10259284513094992,0.005995625641188818,0.20747929728723744,0.10535592268645873,0.5313042819848434,0.9563227909734897,0.2505431265703723,0.5793900665095685,0.11501148797731689,0.01582323762741543,0.2371211737627284,0.12265196645582023,0.5793900665095685,18.41219866980863,1.0,RTV,0.0,0.0,0.09338947273558307,4.723854686164101,3,0.12265196645582023,0.03608019049487327,0,1.2204495123626673,2,-0.09555435818385269,-0.19810357029511522,1
660251,Islah,Islah,Islah,Hurda,Kabul(OGK),0.0,0.00019558475179617772,-0.15877759085590265,-0.7512239085175951,Islah,Hurda,Islah,0.11200543428560844,0.00988104751355751,0.27838858773510233,0.13342502317808944,0.4607073883822185,0.9298293573226233,0.15010725333938407,0.5135479996814086,0.14671899158538365,0.03016022773429709,0.22094760596730634,0.13260894176232904,0.1684965600191916,0.019716091417305,0.1846790686649204,0.12429724003380567,0.11207162572759764,0.010413276012217112,0.16587748429328691,0.09612079534436722,0.5135479996814086,19.72904000637183,2.0,Islah,0.0,1.0,0.09612079534436722,3.8489631663466075,1,0.13342502317808944,0.02476158547996596,0,1.0111721776589317,1,1.1002870924898212,-0.5091503346304335,1
499121,Islah,Islah,Islah,RTV,Kabul(OGK),0.0,-0.00022933817179315015,-0.15487492756882323,-0.7512239085175951,Islah,Hurda,Islah,0.16904818601316776,0.242949074623162,0.16681766604604503,0.19293830889412492,0.30207067908942414,0.5074705893254345,0.17532210764360617,0.32828779201948827,0.25128522409572096,0.201236374817585,0.14271758180845978,0.19841306024058858,0.1378270133830536,0.011800522487405336,0.2638445138504655,0.1378240165736415,0.1397688974186335,0.03654343874641311,0.2512981306514235,0.1425368222721567,0.32828779201948827,23.434244159610238,3.5,Islah,1.0,1.0,0.1378240165736415,1.6545674544882187,0,0.19841306024058858,0.0047356026299853575,0,0.5315767944543038,0,0.8611838037184805,0.47180459043353956,1
363285,Hurda,Hurda,Hurda,RTV,Kabul(OGK),0.0,0.0005131151357366165,0.02580634659225539,-0.7512239085175951,Hurda,Hurda,Hurda,0.5070124272915291,0.9667441442469127,0.21641611787960982,0.5633908964726838,0.14514770651854614,0.008832501424382237,0.22520793448296675,0.1263960474752984,0.09760734896443082,0.0056244401456094,0.12521933333206767,0.07615037414736929,0.13945032762420184,0.012529135001242536,0.23918127867229527,0.13038691376591321,0.11078218960129221,0.006269779181853172,0.19397533563306055,0.10367576813873532,0.5633908964726838,18.732182070546322,2.0,Hurda,0.0,1.0,0.07615037414736929,4.320915958515232,2,0.13038691376591321,0.03338671094180261,0,1.090629978634383,2,-0.7558049436690293,-0.25816545898553805,1
217638,Islah,Islah,Islah,RU,Kabul(OGK),0.0,-6.479844523598321e-05,-0.1520957507467341,-0.7512239085175951,Islah,Hurda,Islah,0.09217162184197646,0.0031243623841750107,0.10939135563045843,0.06822911328553664,0.5198330313593321,0.9807865214291203,0.20836589387399498,0.5696618155541491,0.1218794645989277,0.003510250079703024,0.14902906780163253,0.09147292749342108,0.07775652467527934,0.0017278179629409685,0.255127691535155,0.11153734472445843,0.18835935752448424,0.010851048144060774,0.2780859911587591,0.1590987989424347,0.5696618155541491,18.60676368891702,2.0,Islah,0.0,1.0,0.06822911328553664,3.5805538403860906,2,0.1590987989424347,0.035058019911500926,0,0.7726762132286602,2,-0.5485053218205584,0.07418817647738833,1
219091,RU,RU,RU,Hurda,Kabul(OGK),0.0,-0.00039120918913881935,-0.13506743111802796,-0.05367456994151047,RU,Hurda,RU,0.17222600141672498,0.01851936456472627,0.2428058619961585,0.14451707599253658,0.09924891757606408,0.003049738749182737,0.1184849147393644,0.07359452368820374,0.14574255112511444,0.022220811196065112,0.20870596714927317,0.12555644315681758,0.0716267534794896,0.0022300430895440915,0.21895844835825118,0.0976050816424283,0.5111557764026069,0.9539800424004818,0.21104480775695272,0.5587268755200138,0.5587268755200138,18.825462489599726,2.0,RU,0.0,1.0,0.07359452368820374,3.866165099748272,2,0.14451707599253658,0.03275364659585988,0,-1.7825075769033898,1,0.8262137724056041,-1.4025289862407733,1
674934,Islah,Islah,Islah,Hurda,Kabul(OGK),0.0,3.951127515134828e-05,-0.13651004210584008,-1.1875224965512008,Islah,Hurda,Islah,0.19579375025743231,0.027588701291561223,0.3540329960789123,0.19247181587596862,0.5116597245426464,0.946018292860753,0.17148522910212152,0.5430544155018403,0.10552200530195277,0.01786522035411862,0.19798960742324742,0.1071256110264396,0.06628144940351074,0.0007906000365482998,0.1123052683893948,0.05979243927648461,0.12074307049445777,0.007737185457018846,0.164186899006324,0.09755571831926686,0.5430544155018403,19.138911689963194,2.0,Islah,0.0,1.0,0.05979243927648461,2.8214749937819037,1,0.19247181587596862,0.031304329722369295,0,0.3700094492267977,0,-1.157100954934548,0.9786396902485324,1
937202,Islah,Islah,Islah,Kabul(OGK),Kabul(OGK),0.0,-0.0008791228525650491,-0.14605583600221833,1.7203449675609301,Islah,Hurda,Islah,0.077355445236634,0.005646004583422291,0.16228201300769382,0.0817611542759167,0.47341881242807066,0.9539080670846357,0.19128596112502136,0.5395376135459092,0.13969356138221528,0.01484213274227279,0.25835203653546307,0.13762924355331704,0.09873753395590987,0.0036068513672008764,0.19742140579605338,0.0999219303730547,0.21079464699717013,0.021996944222468357,0.1906585835357683,0.14115005825180227,0.5395376135459092,19.209247729081817,2.0,Islah,0.0,1.0,0.0817611542759167,3.8224398928933505,1,0.14115005825180227,0.029327052514873636,0,-0.20753057118646193,1,-0.3137028900324353,-0.7656716413557311,1
